,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
423,1732411945,89,53,olb,74,2,right,0.3873542845,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_after_received_deep_completion', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Attack']",P. Blackett,"{'top': '75%', 'left': '-5%'}",
424,1732412099,89,36,gb,86,2,head,0.0504452959,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_free_kick', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick', 'Free kick cross']",A. Martin,"{'top': '80%', 'left': '43%'}",
425,1732412172,90,50,gbr,92,2,right,0.7599999905,"['action', 'any_goal', 'decisive_goal', 'goal', 'highlight', 'penalty', 'penalty_goal', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_on_goal']",goal,"['Set piece attack', 'Attack', 'Goal', 'Penalty', 'Pressed']",P. Blackett,"{'top': '79%', 'left': '80%'}",
426,1735165081,88,69,olb,8,1,left,0.0574666038,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_in_counterattack', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Counterattack', 'Opportunity', 'Shot', 'Attack']",R. Taylor,"{'top': '78%', 'left': '-5%'}",
427,1735165344,88,49,bc,27,1,left,0.1155681834,"['action', 'blocked_shot', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Attack', 'Throw in']",L. Salmon,"{'top': '35%', 'left': '57%'}",
428,1735165464,73,46,gl,35,1,right,0.0523945875,"['action', 'any_free_kick', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_on_goal']",gk_save,"['Opportunity', 'Set piece attack', 'Attack', 'Free kick', 'Direct free kick', 'Pressed']",L. Waldock,"{'top': '40%', 'left': '11%'}",
429,1735165489,91,49,gr,36,1,right,0.3536530733,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick']",L. Salmon,"{'top': '49%', 'left': '78%'}",
430,1735165521,90,59,ot,38,1,head,0.0690676197,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",A. Lund,"{'top': '-5%', 'left': '36%'}",
431,1735165656,91,66,gtr,49,1,right,0.1390774846,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",J. Day,"{'top': '13%', 'left': '76%'}",
432,1735165730,90,47,gr,49,2,head,0.0527972281,"['action', 'any_goal', 'goal', 'goal_after_throw_in', 'goal_from_cross', 'head_goal', 'head_shot', 'heading', 'highlight', 'non_penalty_goal', 'opportunity', 'plus', 'received_cross', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_cross', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Goal', 'Throw in']",J. Day,"{'top': '36%', 'left': '75%'}",
433,1735165807,65,47,ot,53,2,right,0.0043405248,"['action', 'right_foot_shot', 'shot', 'shot_after_corner', 'shot_from_outside_area', 'shot_from_play', 'shot_wide']",wide,"['Corner', 'Shot', 'Set piece attack', 'Attack']",J. Clackstone,"{'top': '-5%', 'left': '64%'}",
434,1735165846,91,64,obr,55,2,left,0.0316431522,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_to_near_corner', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Attack', 'Throw in']",S. Brisley,"{'top': '85%', 'right': '-7.5%'}",
435,1735166067,76,29,bc,69,2,right,0.0111838728,"['action', 'blocked_shot', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'received_progressive_pass', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",J. Day,"{'top': '6%', 'left': '93%'}",
436,1735166145,75,54,bc,74,2,right,0.0087179625,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",L. Waldock,"{'top': '86%', 'left': '74%'}",
437,1735166159,88,34,bc,74,2,right,0.1233178824,"['action', 'blocked_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Attack']",J. Thewlis,"{'top': '19%', 'left': '20%'}",
438,1735166163,90,45,olb,74,2,right,0.4304795265,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Attack']",J. Day,"{'top': '76%', 'left': '-5%'}",
439,1735166282,96,50,gr,80,2,head,0.3915503919,"['action', 'any_goal', 'goal', 'goal_after_corner', 'goal_from_cross', 'head_goal', 'head_shot', 'heading', 'highlight', 'non_penalty_goal', 'opportunity', 'plus', 'received_cross', 'received_dangerous_pass', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_cross', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Corner', 'Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Goal']",J. Thewlis,"{'top': '50%', 'left': '91%'}",
440,1735166341,91,43,ot,84,2,head,0.0668797716,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",J. Day,"{'top': '-5%', 'left': '38%'}",
441,1720804177,99,48,gc,6,1,head,0.2918575704,"['action', 'any_goal', 'first_goal', 'goal', 'goal_after_corner', 'head_goal', 'head_shot', 'heading', 'highlight', 'non_penalty_goal', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Corner', 'Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Goal']",D. Newton,"{'top': '36%', 'left': '63%'}",
442,1720804562,92,36,bc,29,1,left,0.1018638909,"['action', 'blocked_shot', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",D. Newton,"{'top': '14%', 'left': '88%'}",
443,1720804678,81,41,bc,37,1,right,0.1962622255,"['action', 'any_free_kick', 'blocked_shot', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area']",blocked,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick', 'Direct free kick']",S. Murombedzi,"{'top': '86%', 'left': '57%'}",
444,1720804684,86,35,gc,37,1,left,0.1601813436,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_free_kick', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick', 'Direct free kick']",R. Calder,"{'top': '64%', 'left': '52%'}",
445,1720804735,83,51,bc,42,1,left,0.012727974,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",G. Carline,"{'top': '35%', 'left': '57%'}",
446,1720804739,98,41,glb,42,1,left,0.2092813253,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Corner', 'Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack']",J. Armson,"{'top': '85%', 'left': '10%'}",
