,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
290,1919697574,84,47,otr,47,1,right,0.1383086145,"['action', 'highlight', 'opportunity', 'received_dangerous_pass', 'received_deep_completion', 'received_pass', 'received_pass_in_final_third', 'right_foot_shot', 'shot', 'shot_after_received_deep_completion', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Set piece attack', 'Attack', 'Free kick']",J. Ngandu,"{'top': '-5%', 'right': '0%'}",
291,1919697838,81,19,bc,74,2,right,0.1052859128,"['action', 'any_free_kick', 'blocked_shot', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'right_foot_shot', 'run', 'run_to_final_third', 'shot', 'shot_from_outside_area']",blocked,"['Set piece attack', 'Attack', 'Free kick', 'Direct free kick', 'Pressed']",B. Hedley,"{'top': '11%', 'left': '68%'}",
292,1919697949,92,73,olb,86,2,right,0.0153394789,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Attack', 'Throw in']",B. Williams,"{'top': '85%', 'left': '-5%'}",
293,1849633204,90,53,ol,31,1,head,0.0890369713,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",T. Lees,"{'top': '65%', 'left': '-5%'}",
294,1849633322,89,68,gt,40,1,right,0.0853129402,"['action', 'any_goal', 'first_goal', 'goal', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Goal']",K. Griffiths,"{'top': '16%', 'left': '51%'}",
295,1849633350,82,44,obr,42,1,left,0.0990240052,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Attack']",W. Hatfield,"{'top': '87%', 'right': '-7.5%'}",
296,1849633453,81,31,gl,49,2,right,0.1320137978,"['action', 'any_free_kick', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_on_goal', 'shot_to_near_corner']",gk_save,"['Opportunity', 'Set piece attack', 'Attack', 'Free kick', 'Direct free kick', 'Pressed']",W. Hatfield,"{'top': '47%', 'left': '15%'}",
297,1849633710,95,59,pr,66,2,head,0.2044523954,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'received_cross', 'received_dangerous_pass', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'shot', 'shot_from_box', 'shot_from_cross', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_post', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",post,"['Opportunity', 'Shot', 'Attack']",H. Lindley,"{'top': '51%', 'right': '-1.5%'}",
298,1849633711,93,46,gb,66,2,left,0.6595780849,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",J. Rivers,"{'top': '75%', 'left': '63%'}",
299,1849633728,79,60,gc,67,2,right,0.064246498,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",W. Hatfield,"{'top': '46%', 'left': '53%'}",
300,1849633737,96,59,otr,69,2,head,0.0960639715,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_to_near_corner', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",T. Platt,"{'top': '-5%', 'right': '17%'}",
301,1849633770,73,72,gr,71,2,right,0.023446586,"['action', 'any_free_kick', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_on_goal', 'shot_to_near_corner']",gk_save,"['Opportunity', 'Set piece attack', 'Attack', 'Free kick', 'Direct free kick', 'Pressed']",B. Hedley,"{'top': '40%', 'left': '83%'}",
302,1849633867,72,55,otl,79,2,left,0.0559557229,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Attack']",J. Ngandu,"{'top': '-5%', 'left': '13%'}",
303,1849633887,73,54,gtl,80,2,right,0.0187210403,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",H. Lindley,"{'top': '13%', 'left': '8%'}",
304,1849633942,91,77,ptr,84,2,right,0.0398110487,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_post', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",post,"['Opportunity', 'Shot', 'Attack']",K. Griffiths,"{'top': '1%', 'right': '13%'}",
